"","X","sample","sex","age","reg","ctg","size","moult","exp","prep","flag","type","qual","length","codeset","cohdate","regentime","wkage","key","over0reads","over10reads","predage"
"1",1,"C200","M","O","",1,"P",NA,"conc","Luke",FALSE,"O","ok",NA,"phaw_1",NA,NA,NA,"C200 1",181,129,NA
"2",2,"C100","M","O","",1,"P",NA,"conc","Luke",FALSE,"O","ok",NA,"phaw_1",NA,NA,NA,"C100 1",168,126,NA
"3",3,"C50","M","O","",1,"P",NA,"conc","Luke",FALSE,"O","ok",NA,"phaw_1",NA,NA,NA,"C50 1",156,129,NA
"4",4,"C25","M","O","",1,"P",NA,"conc","Luke",FALSE,"O","ok",NA,"phaw_1",NA,NA,NA,"C25 1",136,120,NA
"5",5,"C12","M","O","",1,"P",NA,"conc","Luke",FALSE,"O","ok",NA,"phaw_1",NA,NA,NA,"C12 1",51,51,NA
"6",6,"C6","M","O","",1,"P",NA,"conc","Luke",FALSE,"O","ok",NA,"phaw_1",NA,NA,NA,"C6 1",41,41,NA
"7",7,"CIA","M","O","",1,"I",NA,"conc","Luke",FALSE,"O","ok",NA,"phaw_1",NA,NA,NA,"CIA 1",95,95,NA
"8",8,"CIB","M","O","",1,"I",NA,"conc","Luke",FALSE,"O","ok",NA,"phaw_1",NA,NA,NA,"CIB 1",56,56,NA
"9",9,"FYA","F","Y","",1,"P",NA,"OvY","Luke",FALSE,"Y","ok",NA,"phaw_1",NA,NA,NA,"FYA 1",186,182,NA
"10",10,"FOA","F","O","",1,"P",NA,"OvY","Luke",FALSE,"O","ok",NA,"phaw_1",NA,NA,NA,"FOA 1",187,168,NA
"11",11,"MYA","M","Y","",1,"P",NA,"OvY","Luke",FALSE,"Y","ok",NA,"phaw_1",NA,NA,NA,"MYA 1",187,113,NA
"12",12,"MOA","M","O","",1,"P",NA,"OvY","Luke",FALSE,"O","ok",NA,"phaw_1",NA,NA,NA,"MOA 1",189,117,NA
"13",13,"FYB","F","Y","",2,"P",NA,"OvY","Luke",FALSE,"Y","ok",NA,"phaw_1",NA,NA,NA,"FYB 2",150,131,NA
"14",14,"FOB","F","O","",2,"P",NA,"OvY","Luke",FALSE,"O","ok",NA,"phaw_1",NA,NA,NA,"FOB 2",184,172,NA
"15",15,"MYB","M","Y","",2,"P",NA,"OvY","Luke",FALSE,"Y","ok",NA,"phaw_1",NA,NA,NA,"MYB 2",118,97,NA
"16",16,"MOB","M","O","",2,"P",NA,"OvY","Luke",FALSE,"O","ok",NA,"phaw_1",NA,NA,NA,"MOB 2",115,94,NA
"17",17,"MOIA","M","O","",2,"I",NA,"OvY","Luke",FALSE,"O","ok",NA,"phaw_1",NA,NA,NA,"MOIA 2",182,162,NA
"18",18,"MOIB","M","O","",2,"I",NA,"OvY","Luke",FALSE,"O","ok",NA,"phaw_1",NA,NA,NA,"MOIB 2",152,99,NA
"19",19,"MOIC","M","O","",2,"I",NA,"OvY","Luke",FALSE,"O","ok",NA,"phaw_1",NA,NA,NA,"MOIC 2",155,116,NA
"20",20,"MOID","M","O","",2,"I",NA,"OvY","Luke",FALSE,"O","ok",NA,"phaw_1",NA,NA,NA,"MOID 2",152,90,NA
"21",21,"CS1X","M","O","",2,"I",NA,"cut","Luke",FALSE,"O","ok",NA,"phaw_1",NA,NA,NA,"CS1X 2",175,133,NA
"22",22,"CS0.5X","M","O","",2,"I",NA,"cut","Luke",FALSE,"O","ok",NA,"phaw_1",NA,NA,NA,"CS0.5X 2",168,127,NA
"23",23,"CS0.25XA","M","O","",2,"I",NA,"cut","Luke",TRUE,"O","ok",NA,"phaw_1",NA,NA,NA,"CS0.25XA 2",175,128,NA
"24",24,"CS0.25XB","M","O","",2,"I",NA,"cut","Luke",TRUE,"O","ok",NA,"phaw_1",NA,NA,NA,"CS0.25XB 2",169,122,NA
"25",25,"O1a","F","O","",3,"P",NA,"OvY","Nikos",TRUE,"O","bad",NA,"phaw_1",NA,NA,NA,"O1a 3",34,34,NA
"26",26,"O2a","F","O","",3,"P",NA,"OvY","Nikos",FALSE,"O","ok",NA,"phaw_1",NA,NA,NA,"O2a 3",180,126,NA
"27",27,"Y1a","F","Y","",3,"P",NA,"OvY","Nikos",FALSE,"Y","ok",NA,"phaw_1",NA,NA,NA,"Y1a 3",195,173,NA
"28",28,"Y2a","F","Y","",3,"P",NA,"OvY","Nikos",FALSE,"Y","ok",NA,"phaw_1",NA,NA,NA,"Y2a 3",191,152,NA
"29",29,"OR1a","F","O","R",3,"P",NA,"regen","Nikos",FALSE,"OR","ok",NA,"phaw_1",NA,NA,NA,"OR1a 3",175,114,NA
"30",30,"OR2a","F","O","R",3,"P",NA,"regen","Nikos",FALSE,"OR","ok",NA,"phaw_1",NA,NA,NA,"OR2a 3",156,75,NA
"31",31,"YR1a","F","Y","R",3,"P",NA,"regen","Nikos",TRUE,"YR","bad",NA,"phaw_1",NA,NA,NA,"YR1a 3",12,12,NA
"32",32,"YR2a","F","Y","R",3,"P",NA,"regen","Nikos",TRUE,"YR","bad",NA,"phaw_1",NA,NA,NA,"YR2a 3",34,34,NA
"33",33,"FY5a","F","Y","",3,"P",NA,"OvY","Luke",FALSE,"Y","ok",NA,"phaw_1",NA,NA,NA,"FY5a 3",183,163,NA
"34",34,"FY6a","F","Y","",3,"P",NA,"OvY","Luke",FALSE,"Y","ok",NA,"phaw_1",NA,NA,NA,"FY6a 3",192,175,NA
"35",35,"FO5a","F","O","",3,"P",NA,"OvY","Luke",FALSE,"O","ok",NA,"phaw_1",NA,NA,NA,"FO5a 3",184,129,NA
"36",36,"FO7a","F","O","",3,"P",NA,"OvY","Luke",FALSE,"O","ok",NA,"phaw_1",NA,NA,NA,"FO7a 3",181,145,NA
"37",37,"O1b","F","O","",4,"P",NA,"OvY","Nikos",FALSE,"O","ok",NA,"phaw_1",NA,NA,NA,"O1b 4",187,111,NA
"38",38,"O2b","F","O","",4,"P",NA,"OvY","Nikos",FALSE,"O","ok",NA,"phaw_1",NA,NA,NA,"O2b 4",188,161,NA
"39",39,"Y1b","F","Y","",4,"P",NA,"OvY","Nikos",FALSE,"Y","ok",NA,"phaw_1",NA,NA,NA,"Y1b 4",193,177,NA
"40",40,"Y2b","F","Y","",4,"P",NA,"OvY","Nikos",FALSE,"Y","ok",NA,"phaw_1",NA,NA,NA,"Y2b 4",193,155,NA
"41",41,"OR1b","F","O","R",4,"P",NA,"regen","Nikos",FALSE,"OR","ok",NA,"phaw_1",NA,NA,NA,"OR1b 4",177,113,NA
"42",42,"OR2b","F","O","R",4,"P",NA,"regen","Nikos",FALSE,"OR","ok",NA,"phaw_1",NA,NA,NA,"OR2b 4",140,73,NA
"43",43,"YR1b","F","Y","R",4,"P",NA,"regen","Nikos",FALSE,"YR","ok",NA,"phaw_1",NA,NA,NA,"YR1b 4",191,123,NA
"44",44,"YR2b","F","Y","R",4,"P",NA,"regen","Nikos",FALSE,"YR","ok",NA,"phaw_1",NA,NA,NA,"YR2b 4",187,131,NA
"45",45,"FY7","F","Y","",4,"P",NA,"OvY","Luke",FALSE,"Y","ok",NA,"phaw_1",NA,NA,NA,"FY7 4",189,176,NA
"46",46,"FY8","F","Y","",4,"P",NA,"OvY","Luke",FALSE,"Y","ok",NA,"phaw_1",NA,NA,NA,"FY8 4",175,160,NA
"47",47,"FO8","F","O","",4,"P",NA,"OvY","Luke",FALSE,"O","ok",NA,"phaw_1",NA,NA,NA,"FO8 4",153,116,NA
"48",48,"FO9","F","O","",4,"P",NA,"OvY","Luke",FALSE,"O","ok",NA,"phaw_1",NA,NA,NA,"FO9 4",138,138,NA
"49",49,"SFPA","F","Y","",5,"P",NA,"OvY","Luke",FALSE,"Y","bad",5.3,"phaw_1",NA,NA,NA,"SFPA 5",168,68,24.3629261398457
"50",50,"SFPB","F","Y","",5,"P",NA,"OvY","Luke",FALSE,"Y","ok",3.9,"phaw_1",NA,NA,NA,"SFPB 5",187,174,14.8448226400535
"51",51,"LFPA","F","O","",5,"P",NA,"OvY","Luke",FALSE,"O","ok",6.8,"phaw_1",NA,NA,NA,"LFPA 5",92,92,37.5505462879572
"52",52,"LFPB","F","O","",5,"P",NA,"OvY","Luke",FALSE,"O","ok",7.4,"phaw_1",NA,NA,NA,"LFPB 5",104,62,45.8412428777465
"53",53,"SMPA","M","Y","",5,"P",NA,"OvY","Luke",FALSE,"Y","ok",NA,"phaw_1",NA,NA,NA,"SMPA 5",103,68,NA
"54",54,"SMPB","M","Y","",5,"P",NA,"OvY","Luke",TRUE,"Y","bad",NA,"phaw_1",NA,NA,NA,"SMPB 5",182,124,NA
"55",55,"LMPA","M","O","",5,"P",NA,"OvY","Luke",FALSE,"O","ok",NA,"phaw_1",NA,NA,NA,"LMPA 5",177,100,NA
"56",56,"LMPB","M","O","",5,"P",NA,"OvY","Luke",FALSE,"O","ok",NA,"phaw_1",NA,NA,NA,"LMPB 5",185,79,NA
"57",57,"LMIA","M","O","",5,"I",NA,"OvY","Luke",FALSE,"O","ok",NA,"phaw_1",NA,NA,NA,"LMIA 5",168,107,NA
"58",58,"LMIB","M","O","",5,"I",NA,"OvY","Luke",FALSE,"O","ok",NA,"phaw_1",NA,NA,NA,"LMIB 5",130,75,NA
"59",59,"LMIC","M","O","",5,"I",NA,"OvY","Luke",FALSE,"O","ok",NA,"phaw_1",NA,NA,NA,"LMIC 5",121,121,NA
"60",60,"LMID","M","O","",5,"I",NA,"OvY","Luke",FALSE,"O","ok",NA,"phaw_1",NA,NA,NA,"LMID 5",130,68,NA
"61",61,"Abef","F","O","",6,"P",NA,"regen","Luke",FALSE,"O","ok",7,"phaw_1",NA,NA,NA,"Abef 6",104,85,40.0563480732702
"62",62,"Aun","F","O","",6,"P",NA,"regen","Luke",FALSE,"O","ok",7,"phaw_1",NA,NA,NA,"Aun 6",94,67,40.0563480732702
"63",63,"Areg","F","O","R",6,"P",NA,"regen","Luke",FALSE,"OR","ok",7,"phaw_1",NA,4,NA,"Areg 6",124,69,40.0563480732702
"64",64,"Bbef","F","O","",6,"P",NA,"regen","Luke",FALSE,"O","ok",6.8,"phaw_1",NA,NA,NA,"Bbef 6",127,72,37.5505462879572
"65",65,"Bun","F","O","",6,"P",NA,"regen","Luke",FALSE,"O","ok",6.8,"phaw_1",NA,NA,NA,"Bun 6",123,85,37.5505462879572
"66",66,"Breg","F","O","R",6,"P",NA,"regen","Luke",FALSE,"OR","ok",6.8,"phaw_1",NA,4,NA,"Breg 6",99,99,37.5505462879572
"67",67,"Cbef","F","O","",6,"P",NA,"regen","Luke",FALSE,"O","bad",7,"phaw_1",NA,NA,NA,"Cbef 6",68,68,40.0563480732702
"68",68,"Cun","F","O","",6,"P",NA,"regen","Luke",FALSE,"O","ok",7,"phaw_1",NA,NA,NA,"Cun 6",140,99,40.0563480732702
"69",69,"Creg","F","O","R",6,"P",NA,"regen","Luke",FALSE,"OR","ok",7,"phaw_1",NA,4,NA,"Creg 6",135,107,40.0563480732702
"70",70,"Dbef","F","O","",6,"P",NA,"regen","Luke",FALSE,"O","ok",6.9,"phaw_1",NA,NA,NA,"Dbef 6",92,68,38.773663991825
"71",71,"Dun","F","O","",6,"P",NA,"regen","Luke",FALSE,"O","ok",6.9,"phaw_1",NA,NA,NA,"Dun 6",81,69,38.773663991825
"72",72,"Dreg","F","O","R",6,"P",NA,"regen","Luke",FALSE,"OR","ok",6.9,"phaw_1",NA,4,NA,"Dreg 6",97,97,38.773663991825
