,sample,sex,age,reg,ctg,size,moult,exp,prep,flag,type,qual,length,codeset,set
1,C200,M,O,,1,P,,conc,Luke,FALSE,O,ok,NA,phaw_1,old
2,C100,M,O,,1,P,,conc,Luke,FALSE,O,ok,NA,phaw_1,old
3,C50,M,O,,1,P,,conc,Luke,FALSE,O,ok,NA,phaw_1,old
4,C25,M,O,,1,P,,conc,Luke,FALSE,O,ok,NA,phaw_1,old
5,C12,M,O,,1,P,,conc,Luke,FALSE,O,ok,NA,phaw_1,old
6,C6,M,O,,1,P,,conc,Luke,FALSE,O,ok,NA,phaw_1,old
7,CIA,M,O,,1,I,,conc,Luke,FALSE,O,ok,NA,phaw_1,old
8,CIB,M,O,,1,I,,conc,Luke,FALSE,O,ok,NA,phaw_1,old
9,FYA,F,Y,,1,P,,OvY,Luke,FALSE,Y,ok,NA,phaw_1,old
10,FOA,F,O,,1,P,,OvY,Luke,FALSE,O,ok,NA,phaw_1,old
11,MYA,M,Y,,1,P,,OvY,Luke,FALSE,Y,ok,NA,phaw_1,old
12,MOA,M,O,,1,P,,OvY,Luke,FALSE,O,ok,NA,phaw_1,old
13,FYB,F,Y,,2,P,,OvY,Luke,FALSE,Y,ok,NA,phaw_1,old
14,FOB,F,O,,2,P,,OvY,Luke,FALSE,O,ok,NA,phaw_1,old
15,MYB,M,Y,,2,P,,OvY,Luke,FALSE,Y,ok,NA,phaw_1,old
16,MOB,M,O,,2,P,,OvY,Luke,FALSE,O,ok,NA,phaw_1,old
17,MOIA,M,O,,2,I,,OvY,Luke,FALSE,O,ok,NA,phaw_1,old
18,MOIB,M,O,,2,I,,OvY,Luke,FALSE,O,ok,NA,phaw_1,old
19,MOIC,M,O,,2,I,,OvY,Luke,FALSE,O,ok,NA,phaw_1,old
20,MOID,M,O,,2,I,,OvY,Luke,FALSE,O,ok,NA,phaw_1,old
21,CS1X,M,O,,2,I,,cut,Luke,FALSE,O,ok,NA,phaw_1,old
22,CS0.5X,M,O,,2,I,,cut,Luke,FALSE,O,ok,NA,phaw_1,old
23,CS0.25XA,M,O,,2,I,,cut,Luke,TRUE,O,ok,NA,phaw_1,old
24,CS0.25XB,M,O,,2,I,,cut,Luke,TRUE,O,ok,NA,phaw_1,old
25,O1a,F,O,,3,P,,OvY,Nikos,TRUE,O,bad,NA,phaw_1,old
26,O2a,F,O,,3,P,,OvY,Nikos,FALSE,O,ok,NA,phaw_1,old
27,Y1a,F,Y,,3,P,,OvY,Nikos,FALSE,Y,ok,NA,phaw_1,old
28,Y2a,F,Y,,3,P,,OvY,Nikos,FALSE,Y,ok,NA,phaw_1,old
29,OR1a,F,O,R,3,P,,regen,Nikos,FALSE,OR,ok,NA,phaw_1,old
30,OR2a,F,O,R,3,P,,regen,Nikos,FALSE,OR,ok,NA,phaw_1,old
31,YR1a,F,Y,R,3,P,,regen,Nikos,TRUE,YR,bad,NA,phaw_1,old
32,YR2a,F,Y,R,3,P,,regen,Nikos,TRUE,YR,bad,NA,phaw_1,old
33,FY5a,F,Y,,3,P,,OvY,Luke,FALSE,Y,ok,NA,phaw_1,old
34,FY6a,F,Y,,3,P,,OvY,Luke,FALSE,Y,ok,NA,phaw_1,old
35,FO5a,F,O,,3,P,,OvY,Luke,FALSE,O,ok,NA,phaw_1,old
36,FO7a,F,O,,3,P,,OvY,Luke,FALSE,O,ok,NA,phaw_1,old
37,O1b,F,O,,4,P,,OvY,Nikos,FALSE,O,ok,NA,phaw_1,old
38,O2b,F,O,,4,P,,OvY,Nikos,FALSE,O,ok,NA,phaw_1,old
39,Y1b,F,Y,,4,P,,OvY,Nikos,FALSE,Y,ok,NA,phaw_1,old
40,Y2b,F,Y,,4,P,,OvY,Nikos,FALSE,Y,ok,NA,phaw_1,old
41,OR1b,F,O,R,4,P,,regen,Nikos,FALSE,OR,ok,NA,phaw_1,old
42,OR2b,F,O,R,4,P,,regen,Nikos,FALSE,OR,ok,NA,phaw_1,old
43,YR1b,F,Y,R,4,P,,regen,Nikos,FALSE,YR,ok,NA,phaw_1,old
44,YR2b,F,Y,R,4,P,,regen,Nikos,FALSE,YR,ok,NA,phaw_1,old
45,FY7,F,Y,,4,P,,OvY,Luke,FALSE,Y,ok,NA,phaw_1,old
46,FY8,F,Y,,4,P,,OvY,Luke,FALSE,Y,ok,NA,phaw_1,old
47,FO8,F,O,,4,P,,OvY,Luke,FALSE,O,ok,NA,phaw_1,old
48,FO9,F,O,,4,P,,OvY,Luke,FALSE,O,ok,NA,phaw_1,old
49,SFPA,F,Y,,5,P,,OvY,Luke,FALSE,Y,bad,5.3,phaw_1,old
50,SFPB,F,Y,,5,P,,OvY,Luke,FALSE,Y,ok,3.9,phaw_1,old
51,LFPA,F,O,,5,P,,OvY,Luke,FALSE,O,ok,6.8,phaw_1,old
52,LFPB,F,O,,5,P,,OvY,Luke,FALSE,O,ok,7.4,phaw_1,old
53,SMPA,M,Y,,5,P,,OvY,Luke,FALSE,Y,ok,NA,phaw_1,old
54,SMPB,M,Y,,5,P,,OvY,Luke,TRUE,Y,bad,NA,phaw_1,old
55,LMPA,M,O,,5,P,,OvY,Luke,FALSE,O,ok,NA,phaw_1,old
56,LMPB,M,O,,5,P,,OvY,Luke,FALSE,O,ok,NA,phaw_1,old
57,LMIA,M,O,,5,I,,OvY,Luke,FALSE,O,ok,NA,phaw_1,old
58,LMIB,M,O,,5,I,,OvY,Luke,FALSE,O,ok,NA,phaw_1,old
59,LMIC,M,O,,5,I,,OvY,Luke,FALSE,O,ok,NA,phaw_1,old
60,LMID,M,O,,5,I,,OvY,Luke,FALSE,O,ok,NA,phaw_1,old
61,Abef,F,O,,6,P,,regen,Luke,FALSE,O,ok,7,phaw_1,old
62,Aun,F,O,,6,P,,regen,Luke,FALSE,O,ok,7,phaw_1,old
63,Areg,F,O,R,6,P,,regen,Luke,FALSE,OR,ok,7,phaw_1,old
64,Bbef,F,O,,6,P,,regen,Luke,FALSE,O,ok,6.8,phaw_1,old
65,Bun,F,O,,6,P,,regen,Luke,FALSE,O,ok,6.8,phaw_1,old
66,Breg,F,O,R,6,P,,regen,Luke,FALSE,OR,ok,6.8,phaw_1,old
67,Cbef,F,O,,6,P,,regen,Luke,FALSE,O,bad,7,phaw_1,old
68,Cun,F,O,,6,P,,regen,Luke,FALSE,O,ok,7,phaw_1,old
69,Creg,F,O,R,6,P,,regen,Luke,FALSE,OR,ok,7,phaw_1,old
70,Dbef,F,O,,6,P,,regen,Luke,FALSE,O,ok,6.9,phaw_1,old
71,Dun,F,O,,6,P,,regen,Luke,FALSE,O,ok,6.9,phaw_1,old
72,Dreg,F,O,R,6,P,,regen,Luke,FALSE,OR,ok,6.9,phaw_1,old
73,SFPC,F,Y,,7,P,,OvY,Luke,FALSE,Y,ok,4.5,phaw_1,old
74,SFPD,F,Y,,7,P,,OvY,Luke,FALSE,Y,ok,4.1,phaw_1,old
75,LFPC,F,O,,7,P,,OvY,Luke,FALSE,O,ok,7.2,phaw_1,old
76,LFPD,F,O,,7,P,,OvY,Luke,FALSE,O,bad,7.3,phaw_1,old
77,SMPC,M,Y,,7,P,,OvY,Luke,FALSE,Y,ok,NA,phaw_1,old
78,SMPD,M,Y,,7,P,,OvY,Luke,TRUE,Y,ok,NA,phaw_1,old
79,LMPC,M,O,,7,P,,OvY,Luke,FALSE,O,ok,NA,phaw_1,old
80,LMPD,M,O,,7,P,,OvY,Luke,FALSE,O,ok,NA,phaw_1,old
81,0mPA,F,N,,7,P,0,moult,Luke,FALSE,N,ok,NA,phaw_1,old
82,0mPB,F,N,,7,P,0,moult,Luke,FALSE,N,ok,NA,phaw_1,old
83,10mPA,F,N,,7,P,10,moult,Luke,FALSE,N,ok,NA,phaw_1,old
84,20mPA,F,N,,7,P,20,moult,Luke,FALSE,N,ok,NA,phaw_1,old
85,Ebef,F,O,,8,P,,regen,Luke,FALSE,O,ok,NA,phaw_1,old
86,Eun,F,O,,8,P,,regen,Luke,FALSE,O,ok,7,phaw_1,old
87,Ereg,F,O,R,8,P,,regen,Luke,FALSE,OR,ok,7,phaw_1,old
88,Fbef,F,O,,8,I,,regen,Luke,FALSE,O,ok,NA,phaw_1,old
89,Fun,F,O,,8,I,,regen,Luke,FALSE,O,ok,6.7,phaw_1,old
90,Freg,F,O,R,8,I,,regen,Luke,TRUE,OR,bad,6.7,phaw_1,old
91,Gbef,F,O,,8,I,,regen,Luke,FALSE,O,ok,NA,phaw_1,old
92,Gun,F,O,,8,I,,regen,Luke,FALSE,O,ok,7.1,phaw_1,old
93,Greg,F,O,R,8,I,,regen,Luke,FALSE,OR,ok,7.1,phaw_1,old
94,LFIA,F,O,,8,I,,OvY,Luke,FALSE,O,ok,NA,phaw_1,old
95,LFIB,F,O,,8,I,,OvY,Luke,FALSE,O,ok,NA,phaw_1,old
96,20mPB,F,N,,8,P,20,moult,Luke,FALSE,N,ok,NA,phaw_1,old
97,LFIC,F,O,,9,I,,OvY,Luke,TRUE,O,ok,NA,phaw_1,old
98,LFID,F,O,,9,I,,OvY,Luke,FALSE,O,ok,NA,phaw_1,old
99,OmID,F,N,,9,I,0,moult,Luke,FALSE,N,ok,NA,phaw_1,old
100,10mIA,F,N,,9,I,10,moult,Luke,FALSE,N,ok,NA,phaw_1,old
101,n,F,N,,9,I,,moult,Luke,TRUE,N,bad,NA,phaw_1,old
102,20mIC,F,N,,9,I,20,moult,Luke,FALSE,N,ok,NA,phaw_1,old
103,Ibef,F,O,,9,I,,regen,Luke,FALSE,O,ok,NA,phaw_1,old
104,Iun,F,O,,9,I,,regen,Luke,FALSE,O,bad,NA,phaw_1,old
105,Ireg,F,O,R,9,I,,regen,Luke,FALSE,OR,ok,NA,phaw_1,old
106,Kbef,F,O,,9,I,,regen,Luke,FALSE,O,ok,NA,phaw_1,old
107,Kun,F,O,,9,I,,regen,Luke,FALSE,O,bad,NA,phaw_1,old
108,Kreg,F,O,R,9,I,,regen,Luke,FALSE,OR,ok,NA,phaw_1,old
109,A,F,O,,10,P,,Size-age,Luke,FALSE,O,bad,7.25,phaw_1,old
110,B,F,O,,10,P,,Size-age,Luke,FALSE,O,ok,7.25,phaw_1,old
111,C,F,O,,10,P,,Size-age,Luke,FALSE,O,ok,8.25,phaw_1,old
112,D,F,Y,,10,P,,Size-age,Luke,FALSE,Y,ok,5.75,phaw_1,old
113,E,F,O,,10,P,,Size-age,Luke,FALSE,O,ok,7.5,phaw_1,old
114,F,F,O,,10,P,,Size-age,Luke,FALSE,O,ok,7.75,phaw_1,old
115,G,F,M,,10,P,,Size-age,Luke,FALSE,M,ok,6.25,phaw_1,old
116,H,F,O,,10,P,,Size-age,Luke,FALSE,O,ok,7.75,phaw_1,old
117,I,F,M,,10,P,,Size-age,Luke,FALSE,M,ok,6.5,phaw_1,old
118,J,F,Y,,10,P,,Size-age,Luke,FALSE,Y,ok,4.75,phaw_1,old
119,K,F,Y,,10,P,,Size-age,Luke,FALSE,Y,ok,5.5,phaw_1,old
120,L,F,M,,10,P,,Size-age,Luke,FALSE,M,ok,6.25,phaw_1,old
121,Xreg,F,O,R,11,I,,regen,Luke,FALSE,OR,ok,7.5,phaw_1,old
122,Xun,F,O,,11,I,,regen,Luke,FALSE,O,bad,7.5,phaw_1,old
123,Mreg,F,O,R,11,I,,regen,Luke,TRUE,OR,bad,7,phaw_1,old
124,Mun,F,O,,11,I,,regen,Luke,FALSE,O,ok,7,phaw_1,old
125,Nreg,F,O,R,11,I,,regen,Luke,FALSE,OR,?,7.5,phaw_1,old
126,Nun,F,O,,11,I,,regen,Luke,FALSE,O,?,7.5,phaw_1,old
127,Oreg,F,O,R,11,I,,regen,Luke,FALSE,OR,?,6.5,phaw_1,old
128,Oun,F,O,,11,I,,regen,Luke,FALSE,O,?,6.5,phaw_1,old
129,M,F,M,,11,P,,Size-age,Luke,FALSE,M,ok,5.6,phaw_1,old
130,N,F,M,,11,P,,Size-age,Luke,FALSE,M,ok,5.9,phaw_1,old
131,O,F,Y,,11,P,,Size-age,Luke,FALSE,Y,?,5.3,phaw_1,old
132,P,F,O,,11,P,,Size-age,Luke,FALSE,O,?,6.4,phaw_1,old
133,Q,F,Y,,12,P,,Size-age,Luke,FALSE,Y,?,5.3,phaw_1,old
134,R,F,Y,,12,P,,Size-age,Luke,FALSE,Y,?,5.8,phaw_1,old
135,S,F,Y,,12,P,,Size-age,Luke,FALSE,Y,?,4.2,phaw_1,old
136,T,F,Y,,12,P,,Size-age,Luke,FALSE,Y,?,3.8,phaw_1,old
137,U,F,Y,,12,P,,Size-age,Luke,FALSE,Y,?,5.35,phaw_1,old
138,V,F,Y,,12,P,,Size-age,Luke,FALSE,Y,?,5.9,phaw_1,old
139,W,F,M,,12,P,,Size-age,Luke,FALSE,M,?,6.8,phaw_1,old
140,X,F,O,,12,P,,Size-age,Luke,FALSE,O,?,7.3,phaw_1,old
141,Y,F,M,,12,P,,Size-age,Luke,FALSE,M,?,6.2,phaw_1,old
142,Z,F,Y,,12,P,,Size-age,Luke,FALSE,Y,?,5.8,phaw_1,old
143,AA,F,M,,12,P,,Size-age,Luke,FALSE,M,?,6.6,phaw_1,old
144,AB,F,O,,12,P,,Size-age,Luke,TRUE,O,?,7.2,phaw_1,old
145,Preg,F,O,R,13,I,,regen,Luke,FALSE,OR,?,6.5,phaw_1,old
146,Pun,F,O,,13,I,,regen,Luke,FALSE,O,?,6.5,phaw_1,old
147,Qreg,F,M,R,13,P,,regen,Luke,FALSE,MR,?,6.2,phaw_1,old
148,Qun,F,M,,13,P,,regen,Luke,FALSE,M,?,6.2,phaw_1,old
149,Rreg,F,Y,R,13,P,,regen,Luke,FALSE,YR,?,5.6,phaw_1,old
150,Run,F,Y,,13,P,,regen,Luke,FALSE,Y,?,5.6,phaw_1,old
151,Coh1,F,O,,13,I,,cohorts,Luke,FALSE,O,?,7.6,phaw_1,old
152,Coh2,F,O,,13,I,,cohorts,Luke,FALSE,O,?,7,phaw_1,old
153,Coh3,F,M,,13,I,,cohorts,Luke,FALSE,M,?,6.2,phaw_1,old
154,Coh4,F,M,,13,I,,cohorts,Luke,FALSE,M,?,6.1,phaw_1,old
155,Coh5,F,Y,,13,I,,cohorts,Luke,FALSE,Y,?,5.9,phaw_1,old
156,Coh6,F,Y,,13,I,,cohorts,Luke,FALSE,Y,?,5.9,phaw_1,old
157,Coh7,F,Y,,14,I,,cohorts,Luke,FALSE,Y,?,5.1,phaw_1,old
158,Coh8,F,Y,,14,I,,cohorts,Luke,FALSE,Y,?,4.1,phaw_1,old
159,Coh9,F,O,,14,I,,cohorts,Luke,FALSE,O,?,9.1,phaw_1,old
160,Coh10,F,Y,,14,I,,cohorts,Luke,FALSE,Y,?,4.8,phaw_1,old
161,Coh11,F,Y,,14,I,,cohorts,Luke,FALSE,Y,?,4,phaw_1,old
162,Coh12,F,Y,,14,I,,cohorts,Luke,FALSE,Y,?,4.1,phaw_1,old
163,Coh13,F,O,,14,I,,cohorts,Luke,FALSE,O,?,8.5,phaw_1,old
164,Coh14,F,O,,14,I,,cohorts,Luke,FALSE,O,?,8.9,phaw_1,old
165,Coh15,F,O,,14,I,,cohorts,Luke,FALSE,O,?,8.5,phaw_1,old
166,AC,F,Y,,14,P,,Size-age,Luke,FALSE,Y,?,5.8,phaw_1,old
167,AD,F,O,,14,P,,Size-age,Luke,FALSE,O,?,8.5,phaw_1,old
168,AE,F,O,,14,P,,Size-age,Luke,FALSE,O,?,7.5,phaw_1,old
